Object Id,Average Velocity,Average Delta Altitude,Max Velocity,Average Delta longitude,Average Delta latitude,Average Delta time,longitude traverse,latitude traverse,Altitude Traverse,Time taken
638,4727.083389,17478.7337,4959.817,150343.398,154141.576,48.96079,60521.364,51850.843,822.266,17.34023
639,4782.981645,49914.357,5455.892,161357.318,140908.694,47.94076,100833.719,89038.837,585.934,30.60053
640,4583.309667,22421.764,4901.452,162236.15,154495.926,51.00083,61395.455,65456.023,389.872,20.4003
641,4982.892818,56242.501,5735.307,164324.46,173042.564,53.04088,102955.45,107555.977,1642.644,32.64058
642,4475.636273,57517.4467,5292.697,194344.336,200989.844,65.28116,91380.123,93483.197,1238.5997,32.64058
643,4991.360206,60601.7908,5783.171,196076.96,205065.468,66.30118,104661.575,111560.959,1602.2451,33.6606
644,4644.165316,19329.2681,4902.064,163792.816,169150.312,52.02085,59122.113,57596.556,558.649,18.36025
645,4648.901885,34645.442,5139.633,139098.91,135174.982,43.86067,80000.045,77565.026,836.155,25.50042
646,4601.085263,18524.8042,4875.497,133697.584,139117.458,43.86067,53703.227,61591.889,1216.4232,18.36025
647,4801.961217,27581.7481,5182.299,131063.282,129648.288,40.8006,77357.341,68033.154,1174.0279,22.44035
648,4786.577235,60718.10475,5614.805,171973.134,178507.586,56.10095,94593.247,110434.488,1938.86685,33.6606
649,4509.708762,23651.26885,4846.425,153129.544,176314.162,54.0609,58554.607,65925.646,1103.878,20.4003
650,4755.605103,43917.384,5337.28,144014.036,158622.702,48.96079,85478.373,92719.766,120.225,28.56049
651,4768.75272,31587.91,5201.276,170269.03,163720.184,53.04088,84781.99,71002.552,188.979,24.48039
652,5111.582813,52681.73833,5805.084,188310.254,178784.394,56.10095,103503.202,107779.957,1778.99333,31.62056
653,4767.816,44635.94433,5346.965,187843.678,202046.716,60.18105,84352.219,94247.998,58.606,28.56049
654,4601.600905,21908.2919,4936.624,148846.72,157190.374,48.96079,64486.27,62961.087,1323.7039,20.4003
655,4732.299619,23315.0515,5055.434,132342.454,126399.27,40.8006,67858.327,63443.435,1174.4406,20.4003
656,4713.759194,50219.7747,5403.53,163272.622,154943.428,51.00083,95458.401,91485.889,1121.6181,30.60053
657,4387.689038,35131.6151,4897.403,166869.446,167567.518,56.10095,71403.588,76078.274,465.433,25.50042
658,4371.4729,20229.95033,4703.056,129914.676,132632.25,44.8807,58476.648,56497.045,1824.32933,19.38028
659,5084.222375,54252.01403,5767.265,158440.268,166271.124,51.00084,99972.829,109815.012,1018.2847,31.62056
660,4837.1096,32536.3326,5290.806,180826.496,187797.09,56.10095,80876.748,77968.955,1643.7129,24.48039
661,4500.91132,33050.3159,4970.009,156321.612,149064.776,48.96078,75435.481,71092.978,885.759,24.48039
662,4776.8497,20512.788,5059.782,142428.264,130334.584,43.86067,67004.007,59294.297,768.359,19.38028
663,4923.602414,43583.826,5487.128,160761.772,151202.526,47.94077,93734.771,91863.518,8.152,28.56049
664,4693.71308,31493.73,5139.999,165674.798,173245.818,53.04088,71961.044,81404.709,648.257,24.48039
665,4550.556167,29446.491,4967.935,142902.3,153423.794,47.94076,70887.135,72033.517,360.845,23.46037
666,4523.064333,16041.33,4750.61,124000.006,126453.012,40.8006,53168.898,54387.311,56.536,17.34023
667,4895.71465,19756.3116,5189.579,118875.512,118522.448,36.72051,65713.756,64161.239,1632.1446,19.38028
668,4454.174593,38526.6181,5019.163,145458.702,139664.194,45.90072,79693.861,75492.117,1559.4715,26.52044
669,4574.692158,19147.2145,4826.892,141287.914,128472.438,44.88069,61595.437,52946.599,46.163,18.36025
670,4225.213048,21842.607,4567.677,120414.3,110215.622,38.76055,58860.98,57259.466,338.581,20.4003
671,4717.1384,46182.4246,5368.29,151636.706,146412.46,49.98081,92752.673,89170.82,1335.6426,29.58051
672,4851.798353,60807.6857,5664.398,187920.546,202278.482,63.24111,95145.418,113138.646,1629.3081,33.6606
673,4688.51956,33020.2685,5140.895,175503.236,186001.49,58.14099,80408.168,72869.44,923.5584,24.48039
